 time            v(Vtop)        
 1.00300000e-06 -2.03050406e-03 
 1.00354861e-06 -1.97285836e-03 
 1.00450868e-06 -2.02539069e-03 
 1.00557161e-06 -6.76153726e-02 
 1.00769748e-06 -3.33348877e-01 
 1.01000000e-06 -6.21163539e-01 
 1.01030956e-06 -6.21163538e-01 
 1.01092867e-06 -6.21163535e-01 
 1.01216689e-06 -6.21163530e-01 
 1.01464334e-06 -6.21163519e-01 
 1.01959625e-06 -6.21163498e-01 
 1.02950205e-06 -6.21163456e-01 
 1.04931365e-06 -6.21163371e-01 
 1.06931365e-06 -6.21163286e-01 
 1.08931365e-06 -6.21163201e-01 
 1.10931365e-06 -6.21163115e-01 
 1.12931365e-06 -6.21163030e-01 
 1.14931365e-06 -6.21162944e-01 
 1.16931365e-06 -6.21162859e-01 
 1.18931365e-06 -6.21162773e-01 
 1.20931365e-06 -6.21162688e-01 
 1.22931365e-06 -6.21162603e-01 
 1.24931365e-06 -6.21162517e-01 
 1.26931365e-06 -6.21162432e-01 
 1.28931365e-06 -6.21162346e-01 
 1.30931365e-06 -6.21162261e-01 
 1.32931365e-06 -6.21162176e-01 
 1.34931365e-06 -6.21162090e-01 
 1.36931365e-06 -6.21162005e-01 
 1.38931365e-06 -6.21161919e-01 
 1.40931365e-06 -6.21161834e-01 
 1.42931365e-06 -6.21161749e-01 
 1.44931365e-06 -6.21161663e-01 
 1.46931365e-06 -6.21161578e-01 
 1.48931365e-06 -6.21161492e-01 
 1.50931365e-06 -6.21161407e-01 
 1.52931365e-06 -6.21161321e-01 
 1.54931365e-06 -6.21161236e-01 
 1.56931365e-06 -6.21161151e-01 
 1.58931365e-06 -6.21161065e-01 
 1.60931365e-06 -6.21160980e-01 
 1.62931365e-06 -6.21160894e-01 
 1.64931365e-06 -6.21160809e-01 
 1.66931365e-06 -6.21160724e-01 
 1.68931365e-06 -6.21160638e-01 
 1.70931365e-06 -6.21160553e-01 
 1.72931365e-06 -6.21160467e-01 
 1.74931365e-06 -6.21160382e-01 
 1.76931365e-06 -6.21160297e-01 
 1.78931365e-06 -6.21160211e-01 
 1.80931365e-06 -6.21160126e-01 
 1.82931365e-06 -6.21160040e-01 
 1.84931365e-06 -6.21159955e-01 
 1.86931365e-06 -6.21159870e-01 
 1.88931365e-06 -6.21159784e-01 
 1.90931365e-06 -6.21159699e-01 
 1.92931365e-06 -6.21159613e-01 
 1.94931365e-06 -6.21159528e-01 
 1.96931365e-06 -6.21159442e-01 
 1.98465683e-06 -6.21159377e-01 
 2.00000000e-06 -6.21159311e-01 
 2.00100000e-06 -5.31159308e-01 
 2.00300000e-06 -3.51159302e-01 
 2.00650000e-06 -3.61592971e-02 
 2.01000000e-06  2.78840700e-01 
 2.01026025e-06  2.78840700e-01 
 2.01078075e-06  2.78840699e-01 
 2.01182176e-06  2.78840697e-01 
 2.01390377e-06  2.78840693e-01 
 2.01806779e-06  2.78840685e-01 
 2.02639583e-06  2.78840669e-01 
 2.04305192e-06  2.78840637e-01 
 2.06305192e-06  2.78840598e-01 
 2.08305192e-06  2.78840560e-01 
 2.10305192e-06  2.78840522e-01 
 2.12305192e-06  2.78840483e-01 
 2.14305192e-06  2.78840445e-01 
 2.16305192e-06  2.78840407e-01 
 2.18305192e-06  2.78840368e-01 
 2.20305192e-06  2.78840330e-01 
 2.22305192e-06  2.78840292e-01 
 2.24305192e-06  2.78840253e-01 
 2.26305192e-06  2.78840215e-01 
 2.28305192e-06  2.78840177e-01 
 2.30305192e-06  2.78840138e-01 
 2.32305192e-06  2.78840100e-01 
 2.34305192e-06  2.78840062e-01 
 2.36305192e-06  2.78840023e-01 
 2.38305192e-06  2.78839985e-01 
 2.40305192e-06  2.78839947e-01 
 2.42305192e-06  2.78839908e-01 
 2.44305192e-06  2.78839870e-01 
 2.46305192e-06  2.78839832e-01 
 2.48305192e-06  2.78839793e-01 
 2.50305192e-06  2.78839755e-01 
 2.52305192e-06  2.78839716e-01 
 2.54305192e-06  2.78839678e-01 
 2.56305192e-06  2.78839640e-01 
 2.58305192e-06  2.78839601e-01 
 2.60305192e-06  2.78839563e-01 
 2.62305192e-06  2.78839525e-01 
 2.64305192e-06  2.78839486e-01 
 2.66305192e-06  2.78839448e-01 
 2.68305192e-06  2.78839410e-01 
 2.70305192e-06  2.78839371e-01 
 2.72305192e-06  2.78839333e-01 
 2.74305192e-06  2.78839295e-01 
 2.76305192e-06  2.78839256e-01 
 2.78305192e-06  2.78839218e-01 
 2.80305192e-06  2.78839180e-01 
 2.82305192e-06  2.78839141e-01 
 2.84305192e-06  2.78839103e-01 
 2.86305192e-06  2.78839065e-01 
 2.88305192e-06  2.78839026e-01 
 2.90305192e-06  2.78838988e-01 
 2.92305192e-06  2.78838950e-01 
 2.94305192e-06  2.78838911e-01 
 2.96305192e-06  2.78838873e-01 
 2.98152596e-06  2.78838838e-01 
 3.00000000e-06  2.78838802e-01 
 3.00056312e-06  3.04179353e-01 
 3.00168937e-06  3.54860455e-01 
 3.00394186e-06  4.56222659e-01 
 3.00697093e-06  5.92530714e-01 
 3.01000000e-06  7.28838767e-01 
 3.01060581e-06  7.28838764e-01 
 3.01181744e-06  7.28838758e-01 
 3.01424070e-06  7.28838746e-01 
 3.01908720e-06  7.28838722e-01 
 3.02878022e-06  7.28838673e-01 
 3.04816626e-06  7.28838576e-01 
 3.06816626e-06  7.28838476e-01 
 3.08816626e-06  7.28838376e-01 
 3.10816626e-06  7.28838276e-01 
 3.12816626e-06  7.28838175e-01 
 3.14816626e-06  7.28838075e-01 
 3.16816626e-06  7.28837975e-01 
 3.18816626e-06  7.28837875e-01 
 3.20816626e-06  7.28837775e-01 
 3.22816626e-06  7.28837674e-01 
 3.24816626e-06  7.28837574e-01 
 3.26816626e-06  7.28837474e-01 
 3.28816626e-06  7.28837374e-01 
 3.30816626e-06  7.28837273e-01 
 3.32816626e-06  7.28837173e-01 
 3.34816626e-06  7.28837073e-01 
 3.36816626e-06  7.28836973e-01 
 3.38816626e-06  7.28836873e-01 
 3.40816626e-06  7.28836772e-01 
 3.42816626e-06  7.28836672e-01 
 3.44816626e-06  7.28836572e-01 
 3.46816626e-06  7.28836472e-01 
 3.48816626e-06  7.28836372e-01 
 3.50816626e-06  7.28836271e-01 
 3.52816626e-06  7.28836171e-01 
 3.54816626e-06  7.28836071e-01 
 3.56816626e-06  7.28835971e-01 
 3.58816626e-06  7.28835870e-01 
 3.60816626e-06  7.28835770e-01 
 3.62816626e-06  7.28835670e-01 
 3.64816626e-06  7.28835570e-01 
 3.66816626e-06  7.28835470e-01 
 3.68816626e-06  7.28835369e-01 
 3.70816626e-06  7.28835269e-01 
 3.72816626e-06  7.28835169e-01 
 3.74816626e-06  7.28835069e-01 
 3.76816626e-06  7.28834968e-01 
 3.78816626e-06  7.28834868e-01 
 3.80816626e-06  7.28834768e-01 
 3.82816626e-06  7.28834668e-01 
 3.84816626e-06  7.28834568e-01 
 3.86816626e-06  7.28834467e-01 
 3.88816626e-06  7.28834367e-01 
 3.90816626e-06  7.28834267e-01 
 3.92816626e-06  7.28834167e-01 
 3.94816626e-06  7.28834067e-01 
 3.96816626e-06  7.28833966e-01 
 3.98408313e-06  7.28833887e-01 
 4.00000000e-06  7.28833807e-01 
 4.00085242e-06  7.09654445e-01 
 4.00255725e-06  6.71295721e-01 
 4.00596691e-06  5.94578274e-01 
 4.01000000e-06  5.03833765e-01 
 4.01030965e-06  5.03833763e-01 
 4.01092896e-06  5.03833761e-01 
 4.01216758e-06  5.03833757e-01 
 4.01464481e-06  5.03833748e-01 
 4.01959928e-06  5.03833731e-01 
 4.02950821e-06  5.03833697e-01 
 4.04932607e-06  5.03833628e-01 
 4.06932607e-06  5.03833559e-01 
 4.08932607e-06  5.03833490e-01 
 4.10932607e-06  5.03833420e-01 
 4.12932607e-06  5.03833351e-01 
 4.14932607e-06  5.03833282e-01 
 4.16932607e-06  5.03833213e-01 
 4.18932607e-06  5.03833143e-01 
 4.20932607e-06  5.03833074e-01 
 4.22932607e-06  5.03833005e-01 
 4.24932607e-06  5.03832936e-01 
 4.26932607e-06  5.03832866e-01 
 4.28932607e-06  5.03832797e-01 
 4.30932607e-06  5.03832728e-01 
 4.32932607e-06  5.03832658e-01 
 4.34932607e-06  5.03832589e-01 
 4.36932607e-06  5.03832520e-01 
 4.38932607e-06  5.03832451e-01 
 4.40932607e-06  5.03832381e-01 
 4.42932607e-06  5.03832312e-01 
 4.44932607e-06  5.03832243e-01 
 4.46932607e-06  5.03832173e-01 
 4.48932607e-06  5.03832104e-01 
 4.50932607e-06  5.03832035e-01 
 4.52932607e-06  5.03831966e-01 
 4.54932607e-06  5.03831896e-01 
 4.56932607e-06  5.03831827e-01 
 4.58932607e-06  5.03831758e-01 
 4.60932607e-06  5.03831689e-01 
 4.62932607e-06  5.03831619e-01 
 4.64932607e-06  5.03831550e-01 
 4.66932607e-06  5.03831481e-01 
 4.68932607e-06  5.03831411e-01 
 4.70932607e-06  5.03831342e-01 
 4.72932607e-06  5.03831273e-01 
 4.74932607e-06  5.03831204e-01 
 4.76932607e-06  5.03831134e-01 
 4.78932607e-06  5.03831065e-01 
 4.80932607e-06  5.03830996e-01 
 4.82932607e-06  5.03830926e-01 
 4.84932607e-06  5.03830857e-01 
 4.86932607e-06  5.03830788e-01 
 4.88932607e-06  5.03830719e-01 
 4.90932607e-06  5.03830649e-01 
 4.92932607e-06  5.03830580e-01 
 4.94932607e-06  5.03830511e-01 
 4.96932607e-06  5.03830442e-01 
 4.98466304e-06  5.03830388e-01 
 5.00000000e-06  5.03830335e-01 
 5.00068287e-06  5.11512653e-01 
 5.00204862e-06  5.26877289e-01 
 5.00478011e-06  5.57606559e-01 
 5.01000000e-06  6.16330297e-01 
 5.01054630e-06  6.16330294e-01 
 5.01163889e-06  6.16330290e-01 
 5.01382409e-06  6.16330281e-01 
 5.01819447e-06  6.16330262e-01 
 5.02693525e-06  6.16330225e-01 
 5.04441679e-06  6.16330151e-01 
 5.06441679e-06  6.16330066e-01 
 5.08441679e-06  6.16329981e-01 
 5.10441679e-06  6.16329897e-01 
 5.12441679e-06  6.16329812e-01 
 5.14441679e-06  6.16329727e-01 
 5.16441679e-06  6.16329642e-01 
 5.18441679e-06  6.16329558e-01 
 5.20441679e-06  6.16329473e-01 
 5.22441679e-06  6.16329388e-01 
 5.24441679e-06  6.16329304e-01 
 5.26441679e-06  6.16329219e-01 
 5.28441679e-06  6.16329134e-01 
 5.30441679e-06  6.16329049e-01 
 5.32441679e-06  6.16328965e-01 
 5.34441679e-06  6.16328880e-01 
 5.36441679e-06  6.16328795e-01 
 5.38441679e-06  6.16328710e-01 
 5.40441679e-06  6.16328626e-01 
 5.42441679e-06  6.16328541e-01 
 5.44441679e-06  6.16328456e-01 
 5.46441679e-06  6.16328371e-01 
 5.48441679e-06  6.16328287e-01 
 5.50441679e-06  6.16328202e-01 
 5.52441679e-06  6.16328117e-01 
 5.54441679e-06  6.16328032e-01 
 5.56441679e-06  6.16327948e-01 
 5.58441679e-06  6.16327863e-01 
 5.60441679e-06  6.16327778e-01 
 5.62441679e-06  6.16327693e-01 
 5.64441679e-06  6.16327609e-01 
 5.66441679e-06  6.16327524e-01 
 5.68441679e-06  6.16327439e-01 
 5.70441679e-06  6.16327354e-01 
 5.72441679e-06  6.16327270e-01 
 5.74441679e-06  6.16327185e-01 
 5.76441679e-06  6.16327100e-01 
 5.78441679e-06  6.16327015e-01 
 5.80441679e-06  6.16326931e-01 
 5.82441679e-06  6.16326846e-01 
 5.84441679e-06  6.16326761e-01 
 5.86441679e-06  6.16326676e-01 
 5.88441679e-06  6.16326592e-01 
 5.90441679e-06  6.16326507e-01 
 5.92441679e-06  6.16326422e-01 
 5.94441679e-06  6.16326337e-01 
 5.96441679e-06  6.16326253e-01 
 5.98220840e-06  6.16326177e-01 
 6.00000000e-06  6.16326102e-01 
 6.00100000e-06  6.05076098e-01 
 6.00300000e-06  5.82576090e-01 
 6.00650000e-06  5.43201076e-01 
 6.01000000e-06  5.03826063e-01 
 6.01025079e-06  5.03826063e-01 
 6.01075238e-06  5.03826061e-01 
 6.01175555e-06  5.03826057e-01 
 6.01376190e-06  5.03826050e-01 
 6.01777460e-06  5.03826037e-01 
 6.02579999e-06  5.03826009e-01 
 6.04185076e-06  5.03825953e-01 
 6.06185076e-06  5.03825884e-01 
 6.08185076e-06  5.03825815e-01 
 6.10185076e-06  5.03825745e-01 
 6.12185076e-06  5.03825676e-01 
 6.14185076e-06  5.03825607e-01 
 6.16185076e-06  5.03825537e-01 
 6.18185076e-06  5.03825468e-01 
 6.20185076e-06  5.03825399e-01 
 6.22185076e-06  5.03825330e-01 
 6.24185076e-06  5.03825260e-01 
 6.26185076e-06  5.03825191e-01 
 6.28185076e-06  5.03825122e-01 
 6.30185076e-06  5.03825053e-01 
 6.32185076e-06  5.03824983e-01 
 6.34185076e-06  5.03824914e-01 
 6.36185076e-06  5.03824845e-01 
 6.38185076e-06  5.03824775e-01 
 6.40185076e-06  5.03824706e-01 
 6.42185076e-06  5.03824637e-01 
 6.44185076e-06  5.03824568e-01 
 6.46185076e-06  5.03824498e-01 
 6.48185076e-06  5.03824429e-01 
 6.50185076e-06  5.03824360e-01 
 6.52185076e-06  5.03824290e-01 
 6.54185076e-06  5.03824221e-01 
 6.56185076e-06  5.03824152e-01 
 6.58185076e-06  5.03824083e-01 
 6.60185076e-06  5.03824013e-01 
 6.62185076e-06  5.03823944e-01 
 6.64185076e-06  5.03823875e-01 
 6.66185076e-06  5.03823806e-01 
 6.68185076e-06  5.03823736e-01 
 6.70185076e-06  5.03823667e-01 
 6.72185076e-06  5.03823598e-01 
 6.74185076e-06  5.03823528e-01 
 6.76185076e-06  5.03823459e-01 
 6.78185076e-06  5.03823390e-01 
 6.80185076e-06  5.03823321e-01 
 6.82185076e-06  5.03823251e-01 
 6.84185076e-06  5.03823182e-01 
 6.86185076e-06  5.03823113e-01 
 6.88185076e-06  5.03823044e-01 
 6.90185076e-06  5.03822974e-01 
 6.92185076e-06  5.03822905e-01 
 6.94185076e-06  5.03822836e-01 
 6.96185076e-06  5.03822766e-01 
 6.98185076e-06  5.03822697e-01 
 7.00000000e-06  5.03822634e-01 
